time,aFRR_UpActivatedPriceEUR,aFRR_UP_Price_prediction
2025-03-25 11:31:00,58.875689327485375,105.10345164015129
2025-03-25 11:32:00,58.18705701754386,125.3292662750805
2025-03-25 11:33:00,57.49842470760234,152.2161223704115
2025-03-25 11:34:00,56.809792397660814,169.96739228769806
2025-03-25 11:35:00,56.121160087719296,186.81375063121018
2025-03-25 11:36:00,55.43252777777778,197.5113230097949
2025-03-25 11:37:00,54.74389546783625,198.6637367962316
2025-03-25 11:38:00,54.055263157894736,200.98762896049578
2025-03-25 11:39:00,60.419999999999995,204.49212699827305
2025-03-25 11:40:00,60.37539578794481,208.10614377019837
2025-03-25 11:41:00,60.33079157588961,209.531422145234
2025-03-25 11:42:00,60.286187363834415,207.911298379292
2025-03-25 11:43:00,60.241583151779224,207.49809790448037
2025-03-25 11:44:00,60.19697893972403,233.5348247909156
2025-03-25 11:45:00,60.15237472766884,246.70173173384646
2025-03-25 11:46:00,60.10777051561365,250.146415382111
2025-03-25 11:47:00,60.06316630355846,281.0945660236909
2025-03-25 11:48:00,60.01856209150326,298.32582449856983
2025-03-25 11:49:00,59.97395787944807,281.9463692521768
2025-03-25 11:50:00,59.92935366739288,284.9562692375095
2025-03-25 11:51:00,59.88474945533769,297.98283868332373
2025-03-25 11:52:00,59.84014524328249,260.81061067728376
2025-03-25 11:53:00,59.7955410312273,225.1068369179098
2025-03-25 11:54:00,59.750936819172104,189.8899615222872
2025-03-25 11:55:00,59.70633260711692,150.6279592998429
2025-03-25 11:56:00,59.66172839506173,125.35389609305656
2025-03-25 11:57:00,59.61712418300653,121.75104905855521
2025-03-25 11:58:00,59.57251997095134,129.18250639753106
2025-03-25 11:59:00,59.52791575889615,131.41659671983496
2025-03-25 12:00:00,59.48331154684096,137.51001355154145
2025-03-25 12:01:00,59.43870733478577,70.18376541904809
2025-03-25 12:02:00,59.39410312273057,71.5888715123043
2025-03-25 12:03:00,59.34949891067538,72.82586443427307
2025-03-25 12:04:00,59.30489469862019,73.94539961720554
2025-03-25 12:05:00,59.260290486565,75.01484725472984
2025-03-25 12:06:00,59.21568627450981,76.42063120765614
2025-03-25 12:07:00,59.171082062454616,77.65027185833218
2025-03-25 12:08:00,59.12647785039942,80.29347187202877
2025-03-25 12:09:00,59.08187363834423,84.59895457910231
2025-03-25 12:10:00,59.03726942628903,88.89638306021142
2025-03-25 12:11:00,58.992665214233845,90.40203854165402
2025-03-25 12:12:00,58.948061002178655,89.02974910464032
2025-03-25 12:13:00,58.90345679012346,86.0538403229449
2025-03-25 12:14:00,58.858852578068266,83.66887676572522
2025-03-25 12:15:00,58.814248366013075,83.50397961171194
2025-03-25 12:16:00,58.769644153957884,82.95023089986533
2025-03-25 12:17:00,58.72503994190269,83.73355143230981
2025-03-25 12:18:00,58.680435729847495,82.86142160529116
2025-03-25 12:19:00,58.635831517792305,82.29418306131166
2025-03-25 12:20:00,58.591227305737114,82.93588926649453
2025-03-25 12:21:00,58.54662309368192,84.10741411686799
2025-03-25 12:22:00,58.50201888162673,85.32920390213567
2025-03-25 12:23:00,58.457414669571534,86.03174106979614
2025-03-25 12:24:00,58.41281045751634,85.73548800172324
2025-03-25 12:25:00,58.36820624546115,85.44615944492385
2025-03-25 12:26:00,58.32360203340597,85.5620035835943
2025-03-25 12:27:00,58.27899782135077,85.11081955868836
2025-03-25 12:28:00,58.23439360929557,85.21903419106081
2025-03-25 12:29:00,58.18978939724038,85.88882377612771
2025-03-25 12:30:00,58.14518518518519,86.35541919924081
2025-03-25 12:31:00,132.84016666666668,70.35094079265839
2025-03-25 12:32:00,579.6291666666667,71.95040580261113
2025-03-25 12:33:00,804.2700000000001,73.25465188292199
2025-03-25 12:34:00,804.2700000000001,74.36837513205893
2025-03-25 12:35:00,804.2700000000001,75.5249136830428
2025-03-25 12:36:00,804.2700000000001,76.95685434856492
2025-03-25 12:37:00,804.2700000000001,78.25196336357277
2025-03-25 12:38:00,804.2700000000001,81.02728931375859
2025-03-25 12:39:00,804.2700000000001,85.4414212827216
2025-03-25 12:40:00,804.2700000000001,89.77279541302352
2025-03-25 12:41:00,804.2700000000001,91.18748251528181
2025-03-25 12:42:00,804.2700000000001,89.76854080009727
2025-03-25 12:43:00,804.2700000000001,86.81003235352992
2025-03-25 12:44:00,804.2700000000001,84.44208873313785
2025-03-25 12:45:00,804.2700000000001,84.26391758559949
2025-03-25 12:46:00,804.2700000000001,83.68277845485426
2025-03-25 12:47:00,804.2700000000001,84.38892113500675
2025-03-25 12:48:00,785.7065,83.4654368786739
2025-03-25 12:49:00,437.102,82.83678587111109
2025-03-25 12:50:00,199.39499999999998,83.38766085344693
2025-03-25 12:51:00,218.42999999999998,84.45760432499253
2025-03-25 12:52:00,187.65816666666666,85.64744864974111
2025-03-25 12:53:00,133.81533333333334,86.28490604592628
2025-03-25 12:54:00,115.509,85.95973638287653
2025-03-25 12:55:00,86.33,85.64332243671049
2025-03-25 12:56:00,79.73283333333333,85.79617423600487
2025-03-25 12:57:00,58.670666666666676,85.34196748163993
2025-03-25 12:58:00,57.38168421052632,85.44448248852913
2025-03-25 12:59:00,56.09270175438597,86.2306605460584
2025-03-25 13:00:00,54.80371929824562,86.84803224298544
2025-03-25 13:01:00,53.514736842105265,64.60519692635042
2025-03-25 13:02:00,61.880833333333335,65.81055210119766
2025-03-25 13:03:00,130.506,67.03137061967935
2025-03-25 13:04:00,756.885,68.25033724849959
2025-03-25 13:05:00,1577.4031666666667,69.44107113047338
2025-03-25 13:06:00,2681.18,70.96206361483826
