UTC,Heat load forecast [MW],L11 Heat storage energy [MWh],L11 EK plan [MW],L13 HR plan [MW],L11 VP plan [MW],L02 VP plan [MW],L31 VP plan [MW],L11 Sonfor plan [MW],L11 K5 plan [MW],L11 K8 plan [MW],D41 VP MDC plan [MW],Total heat production plan [MW],Spotprice Prediction [DKK/MWh],Spotprice [DKK/MWh]
2025-02-25 00:00:00+00:00,5.4,50.79,7.01,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,7.96,670.79,670.73
2025-02-25 00:15:00+00:00,5.4,51.89,7.01,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,7.96,,
2025-02-25 00:30:00+00:00,5.4,53.11,7.01,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,7.96,,
2025-02-25 00:45:00+00:00,5.4,54.45,7.01,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,7.96,,
2025-02-25 01:00:00+00:00,5.36,55.47,2.35,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,3.29,689.51,689.45
2025-02-25 01:15:00+00:00,5.36,55.46,2.35,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,3.29,,
2025-02-25 01:30:00+00:00,5.36,55.25,2.35,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,3.29,,
2025-02-25 01:45:00+00:00,5.36,55.04,2.35,0.14,0.2,0.2,0.4,0.0,0.0,0,0.35,3.29,,
2025-02-25 02:00:00+00:00,5.89,54.75,0.0,0.15,0.2,0.2,0.4,0.1,0.0,0,0.35,1.05,689.66,689.6
2025-02-25 02:15:00+00:00,5.89,54.02,0.0,0.15,0.2,0.2,0.4,0.1,0.0,0,0.35,1.05,,
2025-02-25 02:30:00+00:00,5.89,53.13,0.0,0.15,0.2,0.2,0.4,0.1,0.0,0,0.35,1.05,,
2025-02-25 02:45:00+00:00,5.89,52.29,0.0,0.15,0.2,0.2,0.4,0.1,0.0,0,0.35,1.05,,
2025-02-25 03:00:00+00:00,5.95,51.56,0.0,0.15,0.2,0.2,0.4,0.1,3.3,0,0.35,4.35,703.69,703.63
2025-02-25 03:15:00+00:00,5.95,50.79,0.0,0.15,0.2,0.2,0.4,0.1,3.3,0,0.35,4.35,,
2025-02-25 03:30:00+00:00,5.95,49.99,0.0,0.15,0.2,0.2,0.4,0.1,3.3,0,0.35,4.35,,
2025-02-25 03:45:00+00:00,5.95,49.11,0.0,0.15,0.2,0.2,0.4,0.1,3.3,0,0.35,4.35,,
2025-02-25 04:00:00+00:00,6.46,48.37,0.0,0.14,0.2,0.2,0.4,0.1,4.09,0,0.35,5.12,772.18,772.11
2025-02-25 04:15:00+00:00,6.46,47.57,0.0,0.14,0.2,0.2,0.4,0.1,4.09,0,0.35,5.12,,
2025-02-25 04:30:00+00:00,6.46,46.68,0.0,0.14,0.2,0.2,0.4,0.1,4.09,0,0.35,5.12,,
2025-02-25 04:45:00+00:00,6.46,45.85,0.0,0.14,0.2,0.2,0.4,0.1,4.09,0,0.35,5.12,,
