time,aFRR_DownActivatedPriceEUR,aFRR_DOWN_Price_prediction
2025-03-25 11:16:00,-1.0700000000004888,-2.2205097871681043
2025-03-25 11:17:00,-1.0700000000004888,-2.2258347696220904
2025-03-25 11:18:00,-1.0700000000004888,-2.3387553348276096
2025-03-25 11:19:00,-1.0700000000004888,-2.4664538182231164
2025-03-25 11:20:00,-1.0700000000004888,-2.3712035492273853
2025-03-25 11:21:00,-1.0700000000004888,-2.2215823751512866
2025-03-25 11:22:00,-1.0700000000004888,-2.2888885708240827
2025-03-25 11:23:00,-1.0700000000004888,-2.4340461275061864
2025-03-25 11:24:00,-1.0700000000004888,-2.7395796813894178
2025-03-25 11:25:00,-1.0700000000004888,-2.877279273948139
2025-03-25 11:26:00,-1.0700000000004888,-2.975173479755517
2025-03-25 11:27:00,-1.0700000000004888,-3.1077080209762245
2025-03-25 11:28:00,-1.0700000000004888,-3.178470816661675
2025-03-25 11:29:00,-1.0700000000004888,-3.3796664173172624
2025-03-25 11:30:00,-1.0700000000004888,-3.364085168080188
2025-03-25 11:31:00,-1.0700000000004888,-17.25550110914458
2025-03-25 11:32:00,-1.0700000000004888,-16.900993449938124
2025-03-25 11:33:00,-1.0700000000004888,-16.387764868784632
2025-03-25 11:34:00,-1.0700000000004888,-15.879011591272864
2025-03-25 11:35:00,-1.0700000000004888,-15.264012973003286
2025-03-25 11:36:00,-1.0700000000004888,-14.669130780978925
2025-03-25 11:37:00,-1.0700000000004888,-14.110837583595712
2025-03-25 11:38:00,-1.0700000000004888,-13.862194643656292
2025-03-25 11:39:00,-10.696140350876517,-13.677701216858381
2025-03-25 11:40:00,-23.398833333334174,-13.726024618248895
2025-03-25 11:41:00,-25.187499999999403,-13.804489157620633
2025-03-25 11:42:00,-49.612333333333034,-14.130418229948486
2025-03-25 11:43:00,-94.21883333333314,-14.181809663324016
2025-03-25 11:44:00,-38.03166666666744,-14.057981753247796
2025-03-25 11:45:00,-12.913833333333352,-13.996563798026251
2025-03-25 11:46:00,6.036500000000637,-13.738039605564298
2025-03-25 11:47:00,16.830333333333943,-13.522165155718868
2025-03-25 11:48:00,18.76999999999957,-13.282012540372541
2025-03-25 11:49:00,14.3456666666659,-13.018119277130047
2025-03-25 11:50:00,6.800499999999462,-12.997641730869342
2025-03-25 11:51:00,10.846000000000789,-12.972652609146785
2025-03-25 11:52:00,2.9798333333328393,-13.231676908560793
2025-03-25 11:53:00,1.5359999999993885,-13.585417864895021
2025-03-25 11:54:00,0.02799999999926061,-13.94101813014351
2025-03-25 11:55:00,-0.524833333333359,-14.141792997989624
2025-03-25 11:56:00,-6.3649999999995135,-14.144508602764743
2025-03-25 11:57:00,-6.700000000000655,-14.182830722446825
2025-03-25 11:58:00,-6.700000000000655,-14.19832717502605
2025-03-25 11:59:00,-6.700000000000655,-14.026769302532207
2025-03-25 12:00:00,-9.889999999999482,-13.92332163007508
2025-03-25 12:01:00,-6.865000000000682,-17.25550110914458
2025-03-25 12:02:00,-6.700000000000655,-16.900993449938124
2025-03-25 12:03:00,-6.700000000000655,-16.387764868784632
2025-03-25 12:04:00,-6.700000000000655,-15.879011591272864
2025-03-25 12:05:00,-6.700000000000655,-15.264012973003286
2025-03-25 12:06:00,-6.700000000000655,-14.669130780978925
2025-03-25 12:07:00,-9.559999999999427,-14.110837583595712
2025-03-25 12:08:00,-9.9999999999995,-13.862194643656292
2025-03-25 12:09:00,-9.9999999999995,-13.677701216858381
2025-03-25 12:10:00,-9.9999999999995,-13.726024618248895
2025-03-25 12:11:00,-9.9999999999995,-13.804489157620633
2025-03-25 12:12:00,-9.834999999999473,-14.130418229948486
2025-03-25 12:13:00,-6.700000000000655,-14.181809663324016
2025-03-25 12:14:00,-5.806666666666552,-14.057981753247796
2025-03-25 12:15:00,-0.8549999999998329,-13.996563798026251
2025-03-25 12:16:00,-0.15833333333304977,-13.738039605564298
2025-03-25 12:17:00,3.5476666666670114,-13.522165155718868
2025-03-25 12:18:00,6.31500000000059,-13.282012540372541
2025-03-25 12:19:00,6.000000000000383,-13.018119277130047
2025-03-25 12:20:00,10.58216666666614,-12.997641730869342
2025-03-25 12:21:00,13.406833333333001,-12.972652609146785
2025-03-25 12:22:00,11.483333333333857,-13.231676908560793
2025-03-25 12:23:00,11.034999999999208,-13.585417864895021
2025-03-25 12:24:00,8.109666666667122,-13.94101813014351
2025-03-25 12:25:00,6.000000000000383,-14.141792997989624
2025-03-25 12:26:00,7.6913333333338745,-14.144508602764743
2025-03-25 12:27:00,13.262000000000326,-14.182830722446825
2025-03-25 12:28:00,20.416999999999195,-14.19832717502605
2025-03-25 12:29:00,33.10799999999998,-14.026769302532207
2025-03-25 12:30:00,34.179999999999204,-13.92332163007508
2025-03-25 12:31:00,34.23965432098802,24.161870859661857
2025-03-25 12:32:00,34.29930864197514,22.119567794784356
2025-03-25 12:33:00,34.35896296296226,20.21895028244036
2025-03-25 12:34:00,34.41861728395108,18.505083952731145
2025-03-25 12:35:00,34.47827160493819,16.89303935471103
2025-03-25 12:36:00,34.53792592592531,15.11195770283882
2025-03-25 12:37:00,34.597580246914134,13.854547864059201
2025-03-25 12:38:00,34.65723456790125,13.347766998229975
2025-03-25 12:39:00,34.71688888888836,12.782238644138827
2025-03-25 12:40:00,34.77654320987719,12.561530210953148
2025-03-25 12:41:00,34.836197530864304,12.892061192883023
2025-03-25 12:42:00,34.89585185185142,12.947439168857791
2025-03-25 12:43:00,34.955506172840245,12.869678455639335
2025-03-25 12:44:00,35.01516049382736,12.766818990317729
2025-03-25 12:45:00,35.074814814814474,12.418801082248134
2025-03-25 12:46:00,35.1344691358033,12.234422022994226
2025-03-25 12:47:00,35.194123456790415,11.593963237498947
2025-03-25 12:48:00,35.25377777777753,10.630679001426882
2025-03-25 12:49:00,35.31343209876465,9.663507274992288
2025-03-25 12:50:00,35.37308641975347,8.769986090739362
2025-03-25 12:51:00,35.432740740740584,8.220145366880825
2025-03-25 12:52:00,35.4923950617277,8.421854971594788
2025-03-25 12:53:00,35.552049382716525,8.501040316757798
2025-03-25 12:54:00,35.61170370370364,8.474416366733962
